idx,title_raw,text_raw,title,text,content
5449855,"

                    Methods and compositions of a hybrid genetic corn complement, DK743                
","
            This invention relates generally to the production of maize, commonly known in the United States as corn, and more specifically to hybrid corn plants with certain advantageous phenotypes resulting from interactions of the haploid genetic contributions of inbred parental lines. This invention relates to the hybrid genetic complement, the expression of which produces these phenotypes and to the complement as housed in seeds and tissues, in particular, those capable of producing or regenerating the hybrid plants either in vivo or in vitro. An aspect of this invention, hybrid DK743, is characterized by many advantageous phenotypic traits including superior yield and staygreen. It has characteristic restriction fragment length polymorphism (RFLP) and isozyme profiles.        ","methods and compositions of a hybrid genetic corn complement, dk743","this invention relates generally to the production of maize, commonly known in the united states as corn, and more specifically to hybrid corn plants with certain advantageous phenotypes resulting from interactions of the haploid genetic contributions of inbred parental lines. this invention relates to the hybrid genetic complement, the expression of which produces these phenotypes and to the complement as housed in seeds and tissues, in particular, those capable of producing or regenerating the hybrid plants either in vivo or in vitro. an aspect of this invention, hybrid dk743, is characterized by many advantageous phenotypic traits including superior yield and staygreen. it has characteristic restriction fragment length polymorphism (rflp) and isozyme profiles.","methods and compositions of a hybrid genetic corn complement, dk743 this invention relates generally to the production of maize, commonly known in the united states as corn, and more specifically to hybrid corn plants with certain advantageous phenotypes resulting from interactions of the haploid genetic contributions of inbred parental lines. this invention relates to the hybrid genetic complement, the expression of which produces these phenotypes and to the complement as housed in seeds and tissues, in particular, those capable of producing or regenerating the hybrid plants either in vivo or in vitro. an aspect of this invention, hybrid dk743, is characterized by many advantageous phenotypic traits including superior yield and staygreen. it has characteristic restriction fragment length polymorphism (rflp) and isozyme profiles."
7361819,"

                    Plants and seeds of corn variety 1669334                
","
            According to the invention, there is provided seed and plants of the corn variety designated I669334. The invention thus relates to the plants, seeds and tissue cultures of the variety I669334, and to methods for producing a corn plant produced by crossing a corn plant of variety I669334 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I669334 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I669334.        ",plants and seeds of corn variety 1669334,"according to the invention, there is provided seed and plants of the corn variety designated i669334. the invention thus relates to the plants, seeds and tissue cultures of the variety i669334, and to methods for producing a corn plant produced by crossing a corn plant of variety i669334 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i669334 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i669334.","plants and seeds of corn variety 1669334 according to the invention, there is provided seed and plants of the corn variety designated i669334. the invention thus relates to the plants, seeds and tissue cultures of the variety i669334, and to methods for producing a corn plant produced by crossing a corn plant of variety i669334 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i669334 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i669334."
7459613,"

                    Plants and seeds of corn variety LH307                
","
            According to the invention, there is provided seed and plants of the corn variety designated LH307. The invention thus relates to the plants, seeds and tissue cultures of the variety LH307, and to methods for producing a corn plant produced by crossing a corn plant of variety LH307 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety LH307 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety LH307.        ",plants and seeds of corn variety lh307,"according to the invention, there is provided seed and plants of the corn variety designated lh307. the invention thus relates to the plants, seeds and tissue cultures of the variety lh307, and to methods for producing a corn plant produced by crossing a corn plant of variety lh307 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety lh307 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety lh307.","plants and seeds of corn variety lh307 according to the invention, there is provided seed and plants of the corn variety designated lh307. the invention thus relates to the plants, seeds and tissue cultures of the variety lh307, and to methods for producing a corn plant produced by crossing a corn plant of variety lh307 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety lh307 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety lh307."
7217874,"

                    Plants and seeds of hybrid corn variety CH916386                
","
            According to the invention, there is provided seed and plants of the hybrid corn variety designated CH916386. The invention thus relates to the plants, seeds and tissue cultures of the variety CH916386, and to methods for producing a corn plant produced by crossing a corn plant of variety CH916386 with itself or with another corn plant, such as a plant of another variety. The invention further relates to genetic complements of plants of variety CH916386.        ",plants and seeds of hybrid corn variety ch916386,"according to the invention, there is provided seed and plants of the hybrid corn variety designated ch916386. the invention thus relates to the plants, seeds and tissue cultures of the variety ch916386, and to methods for producing a corn plant produced by crossing a corn plant of variety ch916386 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch916386.","plants and seeds of hybrid corn variety ch916386 according to the invention, there is provided seed and plants of the hybrid corn variety designated ch916386. the invention thus relates to the plants, seeds and tissue cultures of the variety ch916386, and to methods for producing a corn plant produced by crossing a corn plant of variety ch916386 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch916386."
7476785,"

                    Plants and seeds of corn variety I136815                
","
            According to the invention, there is provided seed and plants of the corn variety designated I136815. The invention thus relates to the plants, seeds and tissue cultures of the variety I136815, and to methods for producing a corn plant produced by crossing a corn plant of variety I136815 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I136815 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I136815.        ",plants and seeds of corn variety i136815,"according to the invention, there is provided seed and plants of the corn variety designated i136815. the invention thus relates to the plants, seeds and tissue cultures of the variety i136815, and to methods for producing a corn plant produced by crossing a corn plant of variety i136815 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i136815 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i136815.","plants and seeds of corn variety i136815 according to the invention, there is provided seed and plants of the corn variety designated i136815. the invention thus relates to the plants, seeds and tissue cultures of the variety i136815, and to methods for producing a corn plant produced by crossing a corn plant of variety i136815 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i136815 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i136815."
7528304,"

                    Plants and seeds of corn variety I119135                
","
            According to the invention, there is provided seed and plants of the corn variety designated I119135. The invention thus relates to the plants, seeds and tissue cultures of the variety I119135, and to methods for producing a corn plant produced by crossing a corn plant of variety I119135 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I119135 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I119135.        ",plants and seeds of corn variety i119135,"according to the invention, there is provided seed and plants of the corn variety designated i119135. the invention thus relates to the plants, seeds and tissue cultures of the variety i119135, and to methods for producing a corn plant produced by crossing a corn plant of variety i119135 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i119135 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i119135.","plants and seeds of corn variety i119135 according to the invention, there is provided seed and plants of the corn variety designated i119135. the invention thus relates to the plants, seeds and tissue cultures of the variety i119135, and to methods for producing a corn plant produced by crossing a corn plant of variety i119135 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i119135 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i119135."
7667109,"

                    Plants and seeds of corn variety CV407125                
","
            According to the invention, there is provided seed and plants of the corn variety designated CV407125. The invention thus relates to the plants, seeds and tissue cultures of the variety CV407125, and to methods for producing a corn plant produced by crossing a corn plant of variety CV407125 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety CV407125 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety CV407125.        ",plants and seeds of corn variety cv407125,"according to the invention, there is provided seed and plants of the corn variety designated cv407125. the invention thus relates to the plants, seeds and tissue cultures of the variety cv407125, and to methods for producing a corn plant produced by crossing a corn plant of variety cv407125 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv407125 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv407125.","plants and seeds of corn variety cv407125 according to the invention, there is provided seed and plants of the corn variety designated cv407125. the invention thus relates to the plants, seeds and tissue cultures of the variety cv407125, and to methods for producing a corn plant produced by crossing a corn plant of variety cv407125 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv407125 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv407125."
7601900,"

                    Plants and seeds of corn variety cv076785                
","
            According to the invention, there is provided seed and plants of the corn variety designated CV076785. The invention thus relates to the plants, seeds and tissue cultures of the variety CV076785, and to methods for producing a corn plant produced by crossing a corn plant of variety CV076785 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety CV076785 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety CV076785.        ",plants and seeds of corn variety cv076785,"according to the invention, there is provided seed and plants of the corn variety designated cv076785. the invention thus relates to the plants, seeds and tissue cultures of the variety cv076785, and to methods for producing a corn plant produced by crossing a corn plant of variety cv076785 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv076785 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv076785.","plants and seeds of corn variety cv076785 according to the invention, there is provided seed and plants of the corn variety designated cv076785. the invention thus relates to the plants, seeds and tissue cultures of the variety cv076785, and to methods for producing a corn plant produced by crossing a corn plant of variety cv076785 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv076785 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv076785."
7547827,"

                    Plants and seeds of corn variety CV728154                
","
            According to the invention, there is provided seed and plants of the corn variety designated CV728154. The invention thus relates to the plants, seeds and tissue cultures of the variety CV728154, and to methods for producing a corn plant produced by crossing a corn plant of variety CV728154 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety CV728154 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety CV728154.        ",plants and seeds of corn variety cv728154,"according to the invention, there is provided seed and plants of the corn variety designated cv728154. the invention thus relates to the plants, seeds and tissue cultures of the variety cv728154, and to methods for producing a corn plant produced by crossing a corn plant of variety cv728154 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv728154 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv728154.","plants and seeds of corn variety cv728154 according to the invention, there is provided seed and plants of the corn variety designated cv728154. the invention thus relates to the plants, seeds and tissue cultures of the variety cv728154, and to methods for producing a corn plant produced by crossing a corn plant of variety cv728154 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv728154 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv728154."
7615696,"

                    Plants and seeds of hybrid corn variety CH160029                
","
            According to the invention, there is provided seed and plants of the hybrid corn variety designated CH160029. The invention thus relates to the plants, seeds and tissue cultures of the variety CH160029, and to methods for producing a corn plant produced by crossing a corn plant of variety CH160029 with itself or with another corn plant, such as a plant of another variety. The invention further relates to genetic complements of plants of variety CH160029.        ",plants and seeds of hybrid corn variety ch160029,"according to the invention, there is provided seed and plants of the hybrid corn variety designated ch160029. the invention thus relates to the plants, seeds and tissue cultures of the variety ch160029, and to methods for producing a corn plant produced by crossing a corn plant of variety ch160029 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch160029.","plants and seeds of hybrid corn variety ch160029 according to the invention, there is provided seed and plants of the hybrid corn variety designated ch160029. the invention thus relates to the plants, seeds and tissue cultures of the variety ch160029, and to methods for producing a corn plant produced by crossing a corn plant of variety ch160029 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch160029."
